question,correct_answers,question_type
What is the name of the element with symbol Mn?,Manganese;manganese,short_answer
What element has 1 protons in its nucleus?,Hydrogen;hydrogen;H,short_answer
What is the atomic number of Aluminum?,13,short_answer
What is the atomic number of Potassium?,19,short_answer
What element has 18 protons in its nucleus?,Argon;argon;Ar,short_answer
What is the atomic number of Nickel?,28,short_answer
What element has 26 protons in its nucleus?,Iron;iron;Fe,short_answer
What is the name of the element with symbol Al?,Aluminum;aluminum,short_answer
What element has 26 protons in its nucleus?,Iron;iron;Fe,short_answer
What element has 10 protons in its nucleus?,Neon;neon;Ne,short_answer
What is the atomic number of Chromium?,24,short_answer
What element has 15 protons in its nucleus?,Phosphorus;phosphorus;P,short_answer
What is the name of the element with symbol Zn?,Zinc;zinc,short_answer
What element has 14 protons in its nucleus?,Silicon;silicon;Si,short_answer
What is the atomic number of Cobalt?,27,short_answer
What element has 13 protons in its nucleus?,Aluminum;aluminum;Al,short_answer
What is the atomic number of Beryllium?,4,short_answer
What is the name of the element with symbol Al?,Aluminum;aluminum,short_answer
What is the name of the element with symbol Sc?,Scandium;scandium,short_answer
What element has 100 protons in its nucleus?,Fermium;fermium;Fm,short_answer
What is the name of the element with symbol H?,Hydrogen;hydrogen,short_answer
What element has 2 protons in its nucleus?,Helium;helium;He,short_answer
What element has 12 protons in its nucleus?,Magnesium;magnesium;Mg,short_answer
What element has 30 protons in its nucleus?,Zinc;zinc;Zn,short_answer
What is the atomic number of Argon?,18,short_answer
What is the atomic number of Argon?,18,short_answer
What is the name of the element with symbol H?,Hydrogen;hydrogen,short_answer
What is the name of the element with symbol Sm?,Samarium;samarium,short_answer
What is the atomic number of Neon?,10,short_answer
What is the name of the element with symbol Lv?,Livermorium;livermorium,short_answer
What is the atomic number of Vanadium?,23,short_answer
What element has 30 protons in its nucleus?,Zinc;zinc;Zn,short_answer
What element has 27 protons in its nucleus?,Cobalt;cobalt;Co,short_answer
What is the atomic number of Copper?,29,short_answer
What is the name of the element with symbol Al?,Aluminum;aluminum,short_answer
What element has 9 protons in its nucleus?,Fluorine;fluorine;F,short_answer
What element has 23 protons in its nucleus?,Vanadium;vanadium;V,short_answer
What is the atomic number of Aluminum?,13,short_answer
What is the name of the element with symbol Ar?,Argon;argon,short_answer
What is the name of the element with symbol B?,Boron;boron,short_answer
What element has 9 protons in its nucleus?,Fluorine;fluorine;F,short_answer
What element has 29 protons in its nucleus?,Copper;copper;Cu,short_answer
What element has 30 protons in its nucleus?,Zinc;zinc;Zn,short_answer
What is the atomic number of Oxygen?,8,short_answer
What is the name of the element with symbol Al?,Aluminum;aluminum,short_answer
What element has 3 protons in its nucleus?,Lithium;lithium;Li,short_answer
What element has 21 protons in its nucleus?,Scandium;scandium;Sc,short_answer
What is the atomic number of Copper?,29,short_answer
What element has 30 protons in its nucleus?,Zinc;zinc;Zn,short_answer
What is the atomic number of Zinc?,30,short_answer
What is the atomic number of Fluorine?,9,short_answer
What element has 15 protons in its nucleus?,Phosphorus;phosphorus;P,short_answer
What element has 15 protons in its nucleus?,Phosphorus;phosphorus;P,short_answer
What is the atomic number of Silicon?,14,short_answer
What element has 12 protons in its nucleus?,Magnesium;magnesium;Mg,short_answer
What is the atomic number of Beryllium?,4,short_answer
What element has 81 protons in its nucleus?,Thallium;thallium;Tl,short_answer
What element has 30 protons in its nucleus?,Zinc;zinc;Zn,short_answer
What is the name of the element with symbol Na?,Sodium;sodium,short_answer
What is the atomic number of Helium?,2,short_answer
What is the atomic number of Nitrogen?,7,short_answer
What is the atomic number of Argon?,18,short_answer
What element has 22 protons in its nucleus?,Titanium;titanium;Ti,short_answer
What is the name of the element with symbol Fe?,Iron;iron,short_answer
What is the name of the element with symbol H?,Hydrogen;hydrogen,short_answer
What is the atomic number of Beryllium?,4,short_answer
What is the atomic number of Chromium?,24,short_answer
What is the name of the element with symbol O?,Oxygen;oxygen,short_answer
What element has 28 protons in its nucleus?,Nickel;nickel;Ni,short_answer
What is the atomic number of Calcium?,20,short_answer
What element has 30 protons in its nucleus?,Zinc;zinc;Zn,short_answer
What is the atomic number of Aluminum?,13,short_answer
What element has 60 protons in its nucleus?,Neodymium;neodymium;Nd,short_answer
What element has 20 protons in its nucleus?,Calcium;calcium;Ca,short_answer
What is the atomic number of Oxygen?,8,short_answer
What element has 7 protons in its nucleus?,Nitrogen;nitrogen;N,short_answer
What is the atomic number of Lithium?,3,short_answer
What element has 18 protons in its nucleus?,Argon;argon;Ar,short_answer
What element has 6 protons in its nucleus?,Carbon;carbon;C,short_answer
What is the name of the element with symbol Ni?,Nickel;nickel,short_answer
What is the name of the element with symbol Cu?,Copper;copper,short_answer
What is the atomic number of Neon?,10,short_answer
What is the name of the element with symbol Al?,Aluminum;aluminum,short_answer
What is the name of the element with symbol Na?,Sodium;sodium,short_answer
What is the name of the element with symbol Ca?,Calcium;calcium,short_answer
What is the name of the element with symbol Cl?,Chlorine;chlorine,short_answer
What is the name of the element with symbol F?,Fluorine;fluorine,short_answer
What is the atomic number of Scandium?,21,short_answer
What is the name of the element with symbol Sm?,Samarium;samarium,short_answer
What is the name of the element with symbol N?,Nitrogen;nitrogen,short_answer
What is the name of the element with symbol Cu?,Copper;copper,short_answer
What element has 28 protons in its nucleus?,Nickel;nickel;Ni,short_answer
What element has 16 protons in its nucleus?,Sulfur;sulfur;S,short_answer
What element has 10 protons in its nucleus?,Neon;neon;Ne,short_answer
What is the atomic number of Lithium?,3,short_answer
What element has 18 protons in its nucleus?,Argon;argon;Ar,short_answer
What is the atomic number of Silicon?,14,short_answer
What is the name of the element with symbol Al?,Aluminum;aluminum,short_answer
What is the atomic number of Silicon?,14,short_answer
What element has 7 protons in its nucleus?,Nitrogen;nitrogen;N,short_answer
What is the name of the element with symbol P?,Phosphorus;phosphorus,short_answer
What is the name of the element with symbol C?,Carbon;carbon,short_answer
What is the atomic number of Boron?,5,short_answer
What is the atomic number of Chromium?,24,short_answer
What is the atomic number of Aluminum?,13,short_answer
What is the name of the element with symbol Sc?,Scandium;scandium,short_answer
What is the name of the element with symbol Ca?,Calcium;calcium,short_answer
What element has 7 protons in its nucleus?,Nitrogen;nitrogen;N,short_answer
What is the atomic number of Potassium?,19,short_answer
What element has 26 protons in its nucleus?,Iron;iron;Fe,short_answer
What is the name of the element with symbol Li?,Lithium;lithium,short_answer
What element has 5 protons in its nucleus?,Boron;boron;B,short_answer
What element has 10 protons in its nucleus?,Neon;neon;Ne,short_answer
What element has 5 protons in its nucleus?,Boron;boron;B,short_answer
What is the atomic number of Boron?,5,short_answer
What element has 18 protons in its nucleus?,Argon;argon;Ar,short_answer
What is the atomic number of Aluminum?,13,short_answer
What element has 22 protons in its nucleus?,Titanium;titanium;Ti,short_answer
What element has 21 protons in its nucleus?,Scandium;scandium;Sc,short_answer
What is the atomic number of Cobalt?,27,short_answer
What element has 26 protons in its nucleus?,Iron;iron;Fe,short_answer
What element has 29 protons in its nucleus?,Copper;copper;Cu,short_answer
What element has 80 protons in its nucleus?,Mercury;mercury;Hg,short_answer
What is the atomic number of Aluminum?,13,short_answer
What element has 23 protons in its nucleus?,Vanadium;vanadium;V,short_answer
What element has 15 protons in its nucleus?,Phosphorus;phosphorus;P,short_answer
What is the name of the element with symbol Sc?,Scandium;scandium,short_answer
What is the name of the element with symbol Ti?,Titanium;titanium,short_answer
What is the name of the element with symbol H?,Hydrogen;hydrogen,short_answer
What element has 26 protons in its nucleus?,Iron;iron;Fe,short_answer
What is the name of the element with symbol P?,Phosphorus;phosphorus,short_answer
What element has 19 protons in its nucleus?,Potassium;potassium;K,short_answer
What is the name of the element with symbol Co?,Cobalt;cobalt,short_answer
What is the name of the element with symbol Cr?,Chromium;chromium,short_answer
What is the name of the element with symbol V?,Vanadium;vanadium,short_answer
What is the name of the element with symbol Na?,Sodium;sodium,short_answer
What is the atomic number of Manganese?,25,short_answer
What is the atomic number of Cobalt?,27,short_answer
What is the atomic number of Argon?,18,short_answer
What is the atomic number of Nihonium?,113,short_answer
What is the atomic number of Lithium?,3,short_answer
What is the name of the element with symbol Cr?,Chromium;chromium,short_answer
What element has 30 protons in its nucleus?,Zinc;zinc;Zn,short_answer
What element has 7 protons in its nucleus?,Nitrogen;nitrogen;N,short_answer
What is the name of the element with symbol P?,Phosphorus;phosphorus,short_answer
What is the name of the element with symbol Si?,Silicon;silicon,short_answer
What is the atomic number of Silicon?,14,short_answer
What is the name of the element with symbol Br?,Bromine;bromine,short_answer
What is the name of the element with symbol V?,Vanadium;vanadium,short_answer
What element has 6 protons in its nucleus?,Carbon;carbon;C,short_answer
What is the atomic number of Hydrogen?,1,short_answer
What is the name of the element with symbol V?,Vanadium;vanadium,short_answer
What element has 28 protons in its nucleus?,Nickel;nickel;Ni,short_answer
What is the name of the element with symbol S?,Sulfur;sulfur,short_answer
What is the name of the element with symbol F?,Fluorine;fluorine,short_answer
What is the name of the element with symbol He?,Helium;helium,short_answer
What is the atomic number of Copper?,29,short_answer
What element has 23 protons in its nucleus?,Vanadium;vanadium;V,short_answer
What is the atomic number of Phosphorus?,15,short_answer
What is the name of the element with symbol Zn?,Zinc;zinc,short_answer
What is the name of the element with symbol Fe?,Iron;iron,short_answer
What is the atomic number of Cobalt?,27,short_answer
What is the atomic number of Chlorine?,17,short_answer
What element has 74 protons in its nucleus?,Tungsten;tungsten;W,short_answer
What is the atomic number of Zinc?,30,short_answer
What is the name of the element with symbol Mg?,Magnesium;magnesium,short_answer
What element has 20 protons in its nucleus?,Calcium;calcium;Ca,short_answer
What element has 77 protons in its nucleus?,Iridium;iridium;Ir,short_answer
What element has 10 protons in its nucleus?,Neon;neon;Ne,short_answer
What is the name of the element with symbol Al?,Aluminum;aluminum,short_answer
What is the atomic number of Oganesson?,118,short_answer
What is the atomic number of Scandium?,21,short_answer
What element has 15 protons in its nucleus?,Phosphorus;phosphorus;P,short_answer
What is the name of the element with symbol Mg?,Magnesium;magnesium,short_answer
What is the atomic number of Scandium?,21,short_answer
What is the atomic number of Phosphorus?,15,short_answer
What is the name of the element with symbol Dy?,Dysprosium;dysprosium,short_answer
What is the name of the element with symbol Co?,Cobalt;cobalt,short_answer
What is the name of the element with symbol Si?,Silicon;silicon,short_answer
What is the atomic number of Sodium?,11,short_answer
What element has 97 protons in its nucleus?,Berkelium;berkelium;Bk,short_answer
What is the name of the element with symbol Ca?,Calcium;calcium,short_answer
What element has 86 protons in its nucleus?,Radon;radon;Rn,short_answer
What element has 16 protons in its nucleus?,Sulfur;sulfur;S,short_answer
What element has 17 protons in its nucleus?,Chlorine;chlorine;Cl,short_answer
What is the atomic number of Chromium?,24,short_answer
What is the name of the element with symbol O?,Oxygen;oxygen,short_answer
What element has 29 protons in its nucleus?,Copper;copper;Cu,short_answer
What is the name of the element with symbol Ne?,Neon;neon,short_answer
What is the name of the element with symbol Sc?,Scandium;scandium,short_answer
What is the name of the element with symbol Cu?,Copper;copper,short_answer
What element has 79 protons in its nucleus?,Gold;gold;Au,short_answer
What is the atomic number of Sulfur?,16,short_answer
What is the name of the element with symbol Ar?,Argon;argon,short_answer
What is the name of the element with symbol Ne?,Neon;neon,short_answer
What is the atomic number of Argon?,18,short_answer
What is the name of the element with symbol P?,Phosphorus;phosphorus,short_answer
What element has 27 protons in its nucleus?,Cobalt;cobalt;Co,short_answer
What is the name of the element with symbol Cu?,Copper;copper,short_answer
What is the atomic number of Lithium?,3,short_answer
What is the name of the element with symbol Ca?,Calcium;calcium,short_answer
What element has 30 protons in its nucleus?,Zinc;zinc;Zn,short_answer
What element has 3 protons in its nucleus?,Lithium;lithium;Li,short_answer
What element has 11 protons in its nucleus?,Sodium;sodium;Na,short_answer
What is the name of the element with symbol Li?,Lithium;lithium,short_answer
What is the atomic number of Copper?,29,short_answer
What element has 11 protons in its nucleus?,Sodium;sodium;Na,short_answer
What is the atomic number of Iron?,26,short_answer
What is the atomic number of Chlorine?,17,short_answer
What is the atomic number of Potassium?,19,short_answer
What element has 3 protons in its nucleus?,Lithium;lithium;Li,short_answer
What element has 13 protons in its nucleus?,Aluminum;aluminum;Al,short_answer
What element has 8 protons in its nucleus?,Oxygen;oxygen;O,short_answer
What is the name of the element with symbol He?,Helium;helium,short_answer
What element has 92 protons in its nucleus?,Uranium;uranium;U,short_answer
What is the atomic number of Argon?,18,short_answer
What element has 20 protons in its nucleus?,Calcium;calcium;Ca,short_answer
What is the name of the element with symbol K?,Potassium;potassium,short_answer
What is the name of the element with symbol V?,Vanadium;vanadium,short_answer
What element has 4 protons in its nucleus?,Beryllium;beryllium;Be,short_answer
What is the name of the element with symbol Co?,Cobalt;cobalt,short_answer
What is the name of the element with symbol Cu?,Copper;copper,short_answer
What is the name of the element with symbol F?,Fluorine;fluorine,short_answer
What is the atomic number of Nitrogen?,7,short_answer
What element has 2 protons in its nucleus?,Helium;helium;He,short_answer
What is the name of the element with symbol He?,Helium;helium,short_answer
What element has 2 protons in its nucleus?,Helium;helium;He,short_answer
What is the atomic number of Neon?,10,short_answer
What element has 28 protons in its nucleus?,Nickel;nickel;Ni,short_answer
What element has 14 protons in its nucleus?,Silicon;silicon;Si,short_answer
What is the name of the element with symbol Na?,Sodium;sodium,short_answer
What is the atomic number of Vanadium?,23,short_answer
What is the name of the element with symbol Er?,Erbium;erbium,short_answer
What element has 8 protons in its nucleus?,Oxygen;oxygen;O,short_answer
What is the name of the element with symbol I?,Iodine;iodine,short_answer
What is the name of the element with symbol Na?,Sodium;sodium,short_answer
What is the atomic number of Potassium?,19,short_answer
What is the name of the element with symbol K?,Potassium;potassium,short_answer
What is the name of the element with symbol Ni?,Nickel;nickel,short_answer
What is the name of the element with symbol Ts?,Tennessine;tennessine,short_answer
What is the atomic number of Californium?,98,short_answer
What is the atomic number of Scandium?,21,short_answer
What is the name of the element with symbol O?,Oxygen;oxygen,short_answer
What is the atomic number of Europium?,63,short_answer
What element has 10 protons in its nucleus?,Neon;neon;Ne,short_answer
What is the atomic number of Beryllium?,4,short_answer
What element has 2 protons in its nucleus?,Helium;helium;He,short_answer
What is the atomic number of Cobalt?,27,short_answer
What is the atomic number of Nitrogen?,7,short_answer
What element has 3 protons in its nucleus?,Lithium;lithium;Li,short_answer
What is the name of the element with symbol Ne?,Neon;neon,short_answer
What element has 13 protons in its nucleus?,Aluminum;aluminum;Al,short_answer
What is the atomic number of Sodium?,11,short_answer
What element has 76 protons in its nucleus?,Osmium;osmium;Os,short_answer
What is the name of the element with symbol Mn?,Manganese;manganese,short_answer
What element has 23 protons in its nucleus?,Vanadium;vanadium;V,short_answer
What is the name of the element with symbol Sc?,Scandium;scandium,short_answer
What is the atomic number of Manganese?,25,short_answer
